participant_id,condition,channel_set,epoch_index,alpha_power_8_12,n_channels
sub-009,EyesClosed,oz,0,-10.42300279563437,1
sub-009,EyesClosed,oz,1,-10.517946593962336,1
sub-009,EyesClosed,oz,2,-7.043492797642493,1
sub-009,EyesClosed,oz,3,-10.49685262294619,1
sub-009,EyesClosed,oz,4,-10.777731226237648,1
sub-009,EyesClosed,oz,5,-10.582218593762596,1
sub-009,EyesClosed,oz,6,-10.700710789490842,1
sub-009,EyesOpen,oz,0,-10.194773389300916,1
sub-009,EyesOpen,oz,1,-10.40212561854578,1
sub-009,EyesOpen,oz,2,-10.039164143703966,1
sub-009,EyesOpen,oz,3,-10.51409136603257,1
sub-009,EyesOpen,oz,4,-9.896331463418733,1
sub-009,EyesOpen,oz,5,-9.944447750635868,1
sub-010,EyesClosed,oz,0,-10.14370360734204,1
sub-010,EyesClosed,oz,1,-9.862851074775293,1
sub-010,EyesClosed,oz,2,-9.842068537002694,1
sub-010,EyesClosed,oz,3,-10.00527078010028,1
sub-010,EyesClosed,oz,4,-9.932216668379018,1
sub-010,EyesClosed,oz,5,-9.802991638675847,1
sub-010,EyesOpen,oz,0,-10.442290158590529,1
sub-010,EyesOpen,oz,1,-9.956299153874978,1
sub-010,EyesOpen,oz,2,-10.215776420825275,1
sub-010,EyesOpen,oz,3,-10.838184753785404,1
sub-010,EyesOpen,oz,4,-11.15174299206225,1
sub-010,EyesOpen,oz,5,-11.179801075320173,1
sub-011,EyesClosed,oz,0,-10.857632171413897,1
sub-011,EyesClosed,oz,1,-10.835395381039254,1
sub-011,EyesClosed,oz,2,-10.878069896584963,1
sub-011,EyesClosed,oz,3,-10.886395222193752,1
sub-011,EyesClosed,oz,4,-11.198226693481786,1
sub-011,EyesClosed,oz,5,-11.287366616921496,1
sub-011,EyesOpen,oz,0,-11.892092633288728,1
sub-011,EyesOpen,oz,1,-11.928006154467532,1
sub-011,EyesOpen,oz,2,-11.88730279180631,1
sub-011,EyesOpen,oz,3,-11.950217391986662,1
sub-011,EyesOpen,oz,4,-11.738510273191094,1
sub-011,EyesOpen,oz,5,-11.786834252887456,1
sub-012,EyesClosed,oz,0,-11.695774373578486,1
sub-012,EyesClosed,oz,1,-11.656151554884604,1
sub-012,EyesClosed,oz,2,-11.684682652224645,1
sub-012,EyesClosed,oz,3,-11.611083684388667,1
sub-012,EyesClosed,oz,4,-11.470005884393348,1
sub-012,EyesClosed,oz,5,-11.616834649767686,1
sub-012,EyesOpen,oz,0,-11.718469690477878,1
sub-012,EyesOpen,oz,1,-11.717676665908812,1
sub-012,EyesOpen,oz,2,-11.721062215844556,1
sub-012,EyesOpen,oz,3,-11.718944391388176,1
sub-012,EyesOpen,oz,4,-11.669823189774418,1
sub-012,EyesOpen,oz,5,-11.73785742802068,1
sub-013,EyesClosed,oz,0,-10.8423737953438,1
sub-013,EyesClosed,oz,1,-10.545205735846796,1
sub-013,EyesClosed,oz,2,-10.64583366361158,1
sub-013,EyesClosed,oz,3,-10.58131325626759,1
sub-013,EyesClosed,oz,4,-10.566387320688571,1
sub-013,EyesClosed,oz,5,-10.891757951182859,1
sub-013,EyesOpen,oz,0,-11.539322936854255,1
sub-013,EyesOpen,oz,1,-11.42383176085377,1
sub-013,EyesOpen,oz,2,-11.312814209765133,1
sub-013,EyesOpen,oz,3,-11.152943226546629,1
sub-013,EyesOpen,oz,4,-11.11559712481435,1
sub-013,EyesOpen,oz,5,-10.998222948402173,1
sub-014,EyesClosed,oz,0,-10.18354910522422,1
sub-014,EyesClosed,oz,1,-10.481913174989222,1
sub-014,EyesClosed,oz,2,-10.218800579526135,1
sub-014,EyesClosed,oz,3,-10.275840011241874,1
sub-014,EyesClosed,oz,4,-10.74919512033125,1
sub-014,EyesClosed,oz,5,-10.673044550020943,1
sub-014,EyesOpen,oz,0,-11.54251445695258,1
sub-014,EyesOpen,oz,1,-10.952407588072079,1
sub-014,EyesOpen,oz,2,-10.744317077204187,1
sub-014,EyesOpen,oz,3,-11.363695804101887,1
sub-014,EyesOpen,oz,4,-10.476518791898396,1
sub-014,EyesOpen,oz,5,-11.343293372857673,1
sub-015,EyesClosed,oz,0,-10.91419022799624,1
sub-015,EyesClosed,oz,1,-11.012367993743098,1
